coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,dots.started,polygon.started,fixation.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,180,59,3,4,left,0.15271824994124472,None,4,3,59,7,55.341885207919404,,,,,,,,,55.32839320797939,55.430935250013135,55.341885207919404,55.341885207919404,55.7249300830299,55.92490562493913,55.92490562493913,55.92754854098894,55.92754854098894,56.09440125001129,left,0.15271824994124472,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.4,0,60,4,4,right,0.20481487503275275,None,4,4,60,2,56.10854354093317,,,,,,,,,56.09506529092323,56.19146749994252,56.10854354093317,56.10854354093317,56.4776104579214,56.691093540983275,56.691093540983275,56.694690082920715,56.694690082920715,56.90929079102352,right,0.20481487503275275,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.1,180,61,5,4,left,0.698187957983464,None,4,5,61,12,56.91424274991732,,,,,,,,,56.909837916027755,57.00814737495966,56.91424274991732,56.91424274991732,57.29359904094599,57.50893037498463,57.50893037498463,57.51266975002363,57.51266975002363,58.21218108292669,left,0.698187957983464,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,180,62,6,4,left,0.1668883329257369,None,4,6,62,11,58.225096874986775,,,,,,,,,58.21294424997177,58.31229395791888,58.225096874986775,58.225096874986775,58.626195332966745,58.82608016591985,58.82608016591985,58.82608016591985,58.82608016591985,59.00024566601496,left,0.1668883329257369,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.4,180,63,7,4,left,0.2616158750606701,None,4,7,63,9,59.00828566600103,,,,,,,,,59.0008600410074,59.09423470799811,59.00828566600103,59.00828566600103,59.392850040923804,59.6091501659248,59.6091501659248,59.6091501659248,59.6091501659248,59.879311083001085,left,0.2616158750606701,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,180,64,8,4,left,0.19690412504132837,None,4,8,64,8,59.89190545794554,,,,,,,,,59.87985204102006,59.978883040952496,59.89190545794554,59.89190545794554,60.27491170796566,60.4749310829211,60.4749310829211,60.479689790983684,60.479689790983684,60.67675337498076,left,0.19690412504132837,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0,180,65,9,4,right,0.25033445900771767,None,4,9,65,13,60.68203262495808,,,,,,,,,60.67726412496995,60.774843040970154,60.68203262495808,60.68203262495808,61.07615799992345,61.276141957961954,61.276141957961954,61.292410957976244,61.292410957976244,61.53029845794663,right,0.25033445900771767,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.3,180,66,10,4,left,0.2376159590203315,None,4,10,66,10,61.5417829999933,,,,,,,,,61.531025415984914,61.62478562502656,61.5417829999933,61.5417829999933,61.910234040929936,62.14269487501588,62.14269487501588,62.14269487501588,62.14269487501588,62.392228540964425,left,0.2376159590203315,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
1,0,67,11,4,right,0.26265041693113744,None,4,11,67,0,62.395817290991545,,,,,,,,,62.39274849998765,62.47709208296146,62.395817290991545,62.395817290991545,62.77505695796572,62.98125312500633,62.98125312500633,62.99163616599981,62.99163616599981,63.245757457916625,right,0.26265041693113744,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.2,0,68,12,4,right,0.4630961249349639,None,4,12,68,4,63.25766520795878,,,,,,,,,63.246318500023335,63.34608908300288,63.25766520795878,63.25766520795878,63.641555540962145,63.859207332949154,63.859207332949154,63.859207332949154,63.859207332949154,64.32781525002792,right,0.4630961249349639,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
0.5,0,69,13,4,right,0.20294408407062292,None,4,13,69,1,64.34171120799147,,,,,,,,,64.32842133298982,64.42484433297068,64.34171120799147,64.34171120799147,64.70944887492806,64.94265450001694,64.94265450001694,64.94265450001694,64.94265450001694,65.16029704094399,right,0.20294408407062292,None,demo,001,2025-03-04_22h13.50.730,motion-simple-example,2024.2.4,None,2025-03-04 22h13.58.555335 -0500,
