blobHeight,blobWidth,offset,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Wait.started,start_trial_text.started,start_key_resp.started,Wait.stopped,start_key_resp.keys,start_key_resp.rt,start_key_resp.duration,trial.started,noise.started,blob_1.started,blob_1.stopped,blob_2.started,blob_2.stopped,noise_2.started,key_resp.started,noise.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1489,0.47,-0.04,36,36,0,left,0.3263788749463856,None,0,36,36,38,37.22506129206158,,,,,,,,,37.201096083037555,37.22506129206158,37.27965587505605,37.54099008301273,37.623375458060764,37.88923275005072,37.922403958044015,37.922403958044015,37.98666029202286,38.255271458067,left,0.3263788749463856,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,0.005,37,37,0,right,0.30062641692347825,None,0,37,37,5,38.30578604200855,,,,,,,,,38.28263762500137,38.30578604200855,38.36019983305596,38.60925462504383,38.70637245802209,38.95630570803769,39.00607841706369,39.00607841706369,39.05330904200673,39.30812104197685,right,0.30062641692347825,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,-0.08,38,38,0,left,0.2690392090007663,None,0,38,38,43,39.3579256250523,,,,,,,,,39.334687583032064,39.3579256250523,39.41151750006247,39.67421979201026,39.75827529199887,40.022396499989554,40.07253066706471,40.07253066706471,40.11999370798003,40.355316667002626,left,0.2690392090007663,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,-0.01,39,39,0,right,0.7906982079148293,None,0,39,39,31,40.40400554204825,,,,,,,,,40.381328667048365,40.40400554204825,40.457915458013304,40.72241104207933,40.806303875055164,41.056160958018154,41.106087082996964,41.106087082996964,41.1534213750856,41.90594120800961,right,0.7906982079148293,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
1.0,0.07,0.0,40,40,0,right,0.41653237503487617,None,0,40,40,0,41.960407458012924,,,,,,,,,41.936090458068065,41.960407458012924,42.01631220802665,42.276907792082056,42.35843379201833,42.622892833082005,42.65619012503885,42.65619012503885,42.7199323750101,43.07439645798877,right,0.41653237503487617,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,0.16,41,41,0,right,0.1768522079801187,None,0,41,41,26,43.123441750067286,,,,,,,,,43.100712625076994,43.123441750067286,43.176443916978315,43.43927779200021,43.539466792019084,43.790786167024635,43.83969762502238,43.83969762502238,43.86994920799043,44.021777583053336,right,0.1768522079801187,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.2593,0.27,-0.04,42,42,0,left,0.3315890410449356,None,0,42,42,37,44.06872583297081,,,,,,,,,44.046564583084546,44.06872583297081,44.123136583017185,44.37412200006656,44.47264808299951,44.723307957989164,44.774522333056666,44.774522333056666,44.819891125080176,45.107963207992725,left,0.3315890410449356,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,-0.16,43,43,0,left,0.2663825829513371,None,0,43,43,47,45.1575787080219,,,,,,,,,45.13468150002882,45.1575787080219,45.21130299998913,45.47551612497773,45.572664875071496,45.82225237507373,45.85859266703483,45.85859266703483,45.90333466697484,46.138557750033215,left,0.2663825829513371,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1489,0.47,0.0,44,44,0,right,0.26127204101067036,None,0,44,44,2,46.18903337500524,,,,,,,,,46.16583720804192,46.18903337500524,46.24252912506927,46.49213804199826,46.59158012503758,46.856008999980986,46.88930062507279,46.88930062507279,46.936556500033475,47.155253542005084,right,0.26127204101067036,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
0.1045,0.67,-0.04,45,45,0,left,0.2523605830501765,None,0,45,45,39,47.20369945804123,,,,,,,,,47.18091325007845,47.20369945804123,47.25638999999501,47.506462083081715,47.607543291989714,47.872341708047315,47.90619462507311,47.90619462507311,47.95338354201522,48.17146133305505,left,0.2523605830501765,None,demo,001,2025-03-24_16h58.34.387,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h58.40.675932 -0400,
